FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2022-2023,1,E92000001,England,Number of maternities,130586
2022-2023,1,E92000001,England,Women known to be non-smokers at time of delivery,115399
2022-2023,1,E92000001,England,Women known to be smokers at time of delivery,11290
2022-2023,1,E92000001,England,Women whose smoking status was not known at time of delivery,3897
2022-2023,1,E40000003,London,Number of maternities,23220
2022-2023,1,E40000003,London,Women known to be non-smokers at time of delivery,21826
2022-2023,1,E40000003,London,Women known to be smokers at time of delivery,1082
2022-2023,1,E40000003,London,Women whose smoking status was not known at time of delivery,312
2022-2023,1,E40000005,South East,Number of maternities,21253
2022-2023,1,E40000005,South East,Women known to be non-smokers at time of delivery,17954
2022-2023,1,E40000005,South East,Women known to be smokers at time of delivery,1647
2022-2023,1,E40000005,South East,Women whose smoking status was not known at time of delivery,1652
2022-2023,1,E40000006,South West,Number of maternities,10518
2022-2023,1,E40000006,South West,Women known to be non-smokers at time of delivery,9145
2022-2023,1,E40000006,South West,Women known to be smokers at time of delivery,914
2022-2023,1,E40000006,South West,Women whose smoking status was not known at time of delivery,459
2022-2023,1,E40000007,East of England,Number of maternities,15472
2022-2023,1,E40000007,East of England,Women known to be non-smokers at time of delivery,13379
2022-2023,1,E40000007,East of England,Women known to be smokers at time of delivery,1181
2022-2023,1,E40000007,East of England,Women whose smoking status was not known at time of delivery,912
2022-2023,1,E40000010,North West,Number of maternities,16628
2022-2023,1,E40000010,North West,Women known to be non-smokers at time of delivery,14750
2022-2023,1,E40000010,North West,Women known to be smokers at time of delivery,1736
2022-2023,1,E40000010,North West,Women whose smoking status was not known at time of delivery,142
2022-2023,1,E40000011,Midlands,Number of maternities,25887
2022-2023,1,E40000011,Midlands,Women known to be non-smokers at time of delivery,22937
2022-2023,1,E40000011,Midlands,Women known to be smokers at time of delivery,2649
2022-2023,1,E40000011,Midlands,Women whose smoking status was not known at time of delivery,301
2022-2023,1,E40000012,North East and Yorkshire,Number of maternities,17608
2022-2023,1,E40000012,North East and Yorkshire,Women known to be non-smokers at time of delivery,15408
2022-2023,1,E40000012,North East and Yorkshire,Women known to be smokers at time of delivery,2081
2022-2023,1,E40000012,North East and Yorkshire,Women whose smoking status was not known at time of delivery,119
2022-2023,1,E54000027,NHS North West London Integrated Care Board,Number of maternities,5326
2022-2023,1,E54000027,NHS North West London Integrated Care Board,Women known to be non-smokers at time of delivery,5119
2022-2023,1,E54000027,NHS North West London Integrated Care Board,Women known to be smokers at time of delivery,190
2022-2023,1,E54000027,NHS North West London Integrated Care Board,Women whose smoking status was not known at time of delivery,17
2022-2023,1,E54000028,NHS North Central London Integrated Care Board,Number of maternities,3891
2022-2023,1,E54000028,NHS North Central London Integrated Care Board,Women known to be non-smokers at time of delivery,3595
2022-2023,1,E54000028,NHS North Central London Integrated Care Board,Women known to be smokers at time of delivery,203
2022-2023,1,E54000028,NHS North Central London Integrated Care Board,Women whose smoking status was not known at time of delivery,93
2022-2023,1,E54000029,NHS North East London Integrated Care Board,Number of maternities,6716
2022-2023,1,E54000029,NHS North East London Integrated Care Board,Women known to be non-smokers at time of delivery,6358
2022-2023,1,E54000029,NHS North East London Integrated Care Board,Women known to be smokers at time of delivery,319
2022-2023,1,E54000029,NHS North East London Integrated Care Board,Women whose smoking status was not known at time of delivery,39
2022-2023,1,E54000030,NHS South East London Integrated Care Board,Number of maternities,4795
2022-2023,1,E54000030,NHS South East London Integrated Care Board,Women known to be non-smokers at time of delivery,4538
